央视频道,#genre#
湖北卫视,rtsp://10.254.216.130/PLTV/88888888/224/3221225638/10000100000000060000000000009759_0.smil
四川卫视,rtsp://10.254.216.130/PLTV/88888888/224/3221226487/10000100000000060000000004577300_0.smil
辽宁卫视,rtsp://10.254.216.130/PLTV/88888888/224/3221225908/10000100000000060000000000273214_0.smil
黑龙江卫视,rtsp://10.254.216.130/PLTV/88888888/224/3221225643/10000100000000060000000000009765_0.smil
吉林卫视,rtsp://10.254.216.130/PLTV/88888888/224/3221226502/10000100000000060000000004577295_0.smil
云南卫视,rtsp://10.254.216.130/PLTV/88888888/224/3221226492/10000100000000060000000004577299_0.smil
贵州卫视,rtsp://10.254.216.130/PLTV/88888888/224/3221226516/10000100000000060000000004577298_0.smil
东南卫视,rtsp://10.254.216.130/PLTV/88888888/224/3221226483/10000100000000060000000002828395_0.smil
重庆卫视,rtsp://10.254.216.130/PLTV/88888888/224/3221226539/10000100000000060000000004577297_0.smil
河北卫视,rtsp://10.254.216.130/PLTV/88888888/224/3221226497/10000100000000060000000004577296_0.smil
广西卫视,rtsp://10.254.216.130/PLTV/88888888/224/3221225655/10000100000000060000000000009790_0.smil
海南卫视,rtsp://10.254.216.130/PLTV/88888888/224/3221225648/10000100000000060000000000009789_0.smil
山西卫视,rtsp://10.254.216.130/PLTV/88888888/224/3221225666/10000100000000060000000000009778_0.smil
陕西卫视,rtsp://10.254.216.130/PLTV/88888888/224/3221225667/10000100000000060000000000009788_0.smil
甘肃卫视,rtsp://10.254.216.130/PLTV/88888888/224/3221225671/10000100000000060000000000009783_0.smil
宁夏卫视,rtsp://10.254.216.130/PLTV/88888888/224/3221225673/10000100000000060000000000009792_0.smil
青海卫视,rtsp://10.254.216.130/PLTV/88888888/224/3221225674/10000100000000060000000000009781_0.smil
内蒙古卫视,rtsp://10.254.216.130/PLTV/88888888/224/3221225676/10000100000000060000000000009779_0.smil
西藏卫视,rtsp://10.254.216.130/PLTV/88888888/224/3221225677/10000100000000060000000000009777_0.smil
新疆卫视,rtsp://10.254.216.130/PLTV/88888888/224/3221225679/10000100000000060000000000009780_0.smil
