央视高清,#genre#
湖北卫视高清,http://c7oud.cn:8888/rtp/225.1.4.89:1118
四川卫视高清,http://c7oud.cn:8888/rtp/225.1.4.151:1306
黑龙江卫视高清,http://c7oud.cn:8888/rtp/225.1.4.91:1120
云南卫视高清,http://c7oud.cn:8888/rtp/225.1.4.152:1307
贵州卫视高清,http://c7oud.cn:8888/rtp/225.1.4.122:1302
辽宁卫视高清,http://c7oud.cn:8888/rtp/225.1.4.167:1208
东南卫视高清,http://c7oud.cn:8888/rtp/225.1.4.228:1274
重庆卫视高清,http://c7oud.cn:8888/rtp/225.1.4.157:1308
广东卫视高清,http://c7oud.cn:8888/rtp/225.1.4.166:1207
广西卫视,http://c7oud.cn:8888/rtp/225.1.4.31:1060
河北卫视高清,http://c7oud.cn:8888/rtp/225.1.4.123:1304
海南卫视,http://c7oud.cn:8888/rtp/225.1.4.25:1054
吉林卫视高清,http://c7oud.cn:8888/rtp/225.1.4.174:1309
山西卫视,http://c7oud.cn:8888/rtp/225.1.4.38:1067
陕西卫视,http://c7oud.cn:8888/rtp/225.1.4.39:1068
甘肃卫视,http://c7oud.cn:8888/rtp/225.1.4.42:1071
宁夏卫视,http://c7oud.cn:8888/rtp/225.1.4.43:1072
青海卫视,http://c7oud.cn:8888/rtp/225.1.4.44:1073
内蒙古卫视,http://c7oud.cn:8888/rtp/225.1.4.45:1074
西藏卫视,http://c7oud.cn:8888/rtp/225.1.4.46:1075
新疆卫视,http://c7oud.cn:8888/rtp/225.1.4.47:1076
卡酷动画,http://c7oud.cn:8888/rtp/225.1.4.48:1077
金鹰卡通,http://c7oud.cn:8888/rtp/225.1.4.49:1078
嘉佳卡通,http://c7oud.cn:8888/rtp/225.1.4.92:1121
中国教育-1高清,http://c7oud.cn:8888/rtp/225.1.4.173:1712
中国教育-4,http://c7oud.cn:8888/rtp/225.1.4.171:1710
厦门卫视,http://c7oud.cn:8888/rtp/225.1.4.95:1124
金鹰纪实高清,http://c7oud.cn:8888/rtp/225.1.4.172:1711
兵团卫视,http://c7oud.cn:8888/rtp/225.1.4.97:1126
中国教育-2,http://c7oud.cn:8888/rtp/225.1.4.165:1206
爱上-4k,http://c7oud.cn:8888/rtp/225.1.4.162:1204
山东教育http://c7oud.cn:8888/rtp/225.1.4.164:1205
三沙卫视,http://c7oud.cn:8888/rtp/225.1.4.234:1280
海南卫视高清,http://c7oud.cn:8888/rtp/225.1.4.195:1310


央视备用,#genre#
CCTV-1,http://110.16.65.6:8888/newlive/live/hls/2/live.m3u8
CCTV-2,http://110.16.65.6:8888/newlive/live/hls/3/live.m3u8
CCTV-3,http://110.16.65.6:8888/newlive/live/hls/4/live.m3u8
CCTV-4,http://110.16.65.6:8888/newlive/live/hls/5/live.m3u8
CCTV-5,http://110.16.65.6:8888/newlive/live/hls/6/live.m3u8
CCTV-5+,http://110.16.65.6:8888/newlive/live/hls/7/live.m3u8
CCTV-7,http://110.16.65.6:8888/newlive/live/hls/9/live.m3u8
CCTV-8,http://110.16.65.6:8888/newlive/live/hls/10/live.m3u8
CCTV-9,http://110.16.65.6:8888/newlive/live/hls/11/live.m3u8
CCTV-10,http://110.16.65.6:8888/newlive/live/hls/12/live.m3u8
CCTV-11,http://110.16.65.6:8888/newlive/live/hls/13/live.m3u8
CCTV-12,http://110.16.65.6:8888/newlive/live/hls/14/live.m3u8
CCTV-13,http://110.16.65.6:8888/newlive/live/hls/15/live.m3u8
CCTV-14,http://110.16.65.6:8888/newlive/live/hls/16/live.m3u8
CCTV-15,http://110.16.65.6:8888/newlive/live/hls/17/live.m3u8
CGTN,http://110.16.65.6:8888/newlive/live/hls/18/live.m3u8

卫视备用,#genre#
北京卫视,http://110.16.65.6:8888/newlive/live/hls/19/live.m3u8
东方卫视,http://110.16.65.6:8888/newlive/live/hls/20/live.m3u8
广东卫视,http://110.16.65.6:8888/newlive/live/hls/21/live.m3u8
江苏卫视,http://110.16.65.6:8888/newlive/live/hls/22/live.m3u8
湖南卫视,http://110.16.65.6:8888/newlive/live/hls/23/live.m3u8
浙江卫视,http://110.16.65.6:8888/newlive/live/hls/24/live.m3u8
安徽卫视,http://110.16.65.6:8888/newlive/live/hls/25/live.m3u8
广西卫视,http://110.16.65.6:8888/newlive/live/hls/26/live.m3u8
云南卫视,http://110.16.65.6:8888/newlive/live/hls/27/live.m3u8
深圳卫视,http://110.16.65.6:8888/newlive/live/hls/28/live.m3u8
贵州卫视,http://110.16.65.6:8888/newlive/live/hls/29/live.m3u8
山东卫视,http://110.16.65.6:8888/newlive/live/hls/30/live.m3u8
重庆卫视,http://110.16.65.6:8888/newlive/live/hls/31/live.m3u8
四川卫视,http://110.16.65.6:8888/newlive/live/hls/32/live.m3u8
河南卫视,http://110.16.65.6:8888/newlive/live/hls/33/live.m3u8
陕西卫视,http://110.16.65.6:8888/newlive/live/hls/41/live.m3u8
山西卫视,http://110.16.65.6:8888/newlive/live/hls/42/live.m3u8
黑龙江卫视,http://110.16.65.6:8888/newlive/live/hls/43/live.m3u8
海南卫视,http://110.16.65.6:8888/newlive/live/hls/44/live.m3u8
东南卫视,http://110.16.65.6:8888/newlive/live/hls/45/live.m3u8
辽宁卫视,http://110.16.65.6:8888/newlive/live/hls/46/live.m3u8
天津卫视,http://110.16.65.6:8888/newlive/live/hls/47/live.m3u8
河北卫视,http://110.16.65.6:8888/newlive/live/hls/48/live.m3u8
江西卫视,http://110.16.65.6:8888/newlive/live/hls/49/live.m3u8
